                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63318,                0.53592,                 1.1274,                0.95445,                0.93935,                0.97447,                0.84531,                0.57325,                0.37919,                 1.0199,             0.00025436,             0.00025436,             0.00025436
                      2,                0.62207,                0.53313,                 1.1101,                0.94339,                0.94364,                0.97129,                0.83876,                  0.587,                0.39763,                 1.0307,             0.00049384,             0.00049384,             0.00049384
                      3,                0.64421,                0.57342,                 1.1255,                0.92635,                0.89521,                0.94968,                0.81632,                0.58911,                0.48289,                 1.0284,              0.0007164,              0.0007164,              0.0007164
                      4,                0.64105,                0.58456,                 1.1254,                0.92605,                0.90826,                0.95431,                0.80438,                0.62866,                0.47456,                 1.0993,             0.00069287,             0.00069287,             0.00069287
                      5,                0.66605,                0.59707,                 1.1445,                0.87666,                0.90236,                0.93605,                0.79919,                0.59731,                0.59435,                 1.0474,             0.00069287,             0.00069287,             0.00069287
                      6,                0.67422,                0.60643,                 1.1541,                 0.8762,                0.90118,                0.93504,                0.78339,                0.62873,                0.52212,                 1.0595,             0.00066749,             0.00066749,             0.00066749
                      7,                0.67191,                0.60506,                 1.1465,                0.89481,                0.89574,                 0.9447,                0.80675,                0.60888,                0.56631,                  1.037,             0.00064212,             0.00064212,             0.00064212
                      8,                 0.6424,                0.58684,                 1.1217,                0.92086,                0.93675,                0.96144,                0.82714,                0.59352,                0.44443,                 1.0166,             0.00061674,             0.00061674,             0.00061674
                      9,                0.64646,                0.58036,                  1.132,                0.91964,                 0.9047,                0.96195,                0.83397,                0.58315,                0.45912,                 1.0276,             0.00059136,             0.00059136,             0.00059136
                     10,                0.63627,                0.57192,                 1.1253,                0.94768,                0.92275,                0.96846,                0.82883,                0.59477,                0.40853,                 1.0472,             0.00056598,             0.00056598,             0.00056598
                     11,                0.62161,                0.54331,                 1.1183,                0.95847,                0.92464,                0.97331,                0.84554,                0.57249,                0.39182,                 1.0121,             0.00054061,             0.00054061,             0.00054061
                     12,                0.61562,                0.53992,                 1.1136,                0.94069,                0.95455,                0.97202,                0.85586,                 0.5514,                0.38173,                 0.9926,             0.00051523,             0.00051523,             0.00051523
                     13,                0.61123,                0.51794,                 1.1085,                0.95009,                0.93455,                0.97313,                0.85641,                0.56065,                0.36477,                 1.0041,             0.00048985,             0.00048985,             0.00048985
                     14,                0.59075,                0.50379,                 1.0938,                0.95632,                0.94064,                0.97847,                0.84851,                0.56642,                0.36231,                 1.0141,             0.00046448,             0.00046448,             0.00046448
                     15,                0.60517,                0.50885,                 1.0991,                0.94489,                0.94969,                0.97103,                0.84205,                0.57146,                0.36531,                 1.0356,              0.0004391,              0.0004391,              0.0004391
                     16,                0.59002,                0.49459,                 1.0963,                0.97206,                0.94818,                0.98304,                0.86045,                 0.5577,                0.34674,                 0.9916,             0.00041372,             0.00041372,             0.00041372
                     17,                0.58273,                0.47236,                 1.0868,                0.95887,                0.94442,                0.97977,                 0.8556,                0.55736,                0.35481,                 1.0109,             0.00038835,             0.00038835,             0.00038835
                     18,                0.57259,                0.46456,                  1.077,                0.94739,                 0.9248,                0.97456,                0.86188,                0.53966,                0.38885,                0.98943,             0.00036297,             0.00036297,             0.00036297
                     19,                0.55621,                0.46545,                 1.0757,                 0.9689,                0.96297,                0.98539,                0.87271,                0.53677,                0.32226,                0.98847,             0.00033759,             0.00033759,             0.00033759
                     20,                0.55479,                 0.4632,                 1.0766,                0.96326,                0.94976,                0.98365,                0.86995,                0.53023,                0.33084,                 0.9862,             0.00031221,             0.00031221,             0.00031221
                     21,                0.48908,                0.30878,                 1.0301,                0.95455,                0.95055,                0.97749,                0.86331,                0.53718,                0.35204,                0.99128,             0.00028684,             0.00028684,             0.00028684
                     22,                0.47231,                0.30599,                  1.016,                0.96099,                 0.9473,                0.97923,                0.86045,                0.53879,                0.32983,                0.99465,             0.00026146,             0.00026146,             0.00026146
                     23,                0.45567,                0.28005,                 1.0111,                0.97338,                0.94987,                0.98301,                0.87075,                0.52883,                0.31278,                0.98456,             0.00023608,             0.00023608,             0.00023608
                     24,                0.44675,                 0.2756,                 1.0006,                0.94779,                0.95656,                0.97827,                0.86913,                0.52452,                0.34609,                0.97727,             0.00021071,             0.00021071,             0.00021071
                     25,                0.43525,                0.26367,                0.99319,                0.97129,                0.95811,                 0.9837,                0.87646,                0.52221,                0.31172,                 0.9822,             0.00018533,             0.00018533,             0.00018533
                     26,                0.41774,                0.25086,                0.98223,                0.96109,                0.94486,                0.98387,                0.87356,                0.52046,                0.32389,                0.98221,             0.00015995,             0.00015995,             0.00015995
                     27,                0.40539,                0.24179,                0.97027,                0.96983,                0.94345,                0.98356,                0.88479,                0.50463,                0.31399,                0.96287,             0.00013457,             0.00013457,             0.00013457
                     28,                0.40493,                0.24705,                0.96567,                0.95373,                0.96031,                0.98142,                0.87913,                0.51418,                0.31427,                0.97347,              0.0001092,              0.0001092,              0.0001092
                     29,                0.39446,                0.23471,                0.96397,                 0.9559,                0.96993,                0.98362,                0.88056,                0.51047,                0.30148,                0.96961,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     30,                0.37311,                0.22386,                0.94484,                 0.9696,                0.94847,                0.98442,                0.88487,                0.49997,                0.30645,                0.96251,             5.8444e-05,             5.8444e-05,             5.8444e-05
