                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47988,                 0.3703,                 1.0205,                0.96041,                 0.9672,                0.97375,                0.87424,                 0.5087,                 0.3302,                0.96889,             0.00025131,             0.00025131,             0.00025131
                     37,                0.46362,                0.35813,                  1.019,                0.96011,                0.96242,                0.98028,                0.87649,                0.52041,                0.32165,                0.99615,             0.00023608,             0.00023608,             0.00023608
                     38,                 0.4564,                0.34639,                 1.0124,                0.97541,                0.97206,                0.98754,                0.88801,                0.50728,                0.27009,                0.98145,             0.00022086,             0.00022086,             0.00022086
                     39,                0.44644,                0.34122,                 1.0117,                0.97555,                0.95361,                0.98383,                0.88543,                0.51322,                0.29278,                0.99473,             0.00020563,             0.00020563,             0.00020563
                     40,                0.45125,                0.34335,                 1.0129,                0.97117,                0.96758,                0.98613,                0.88735,                0.50738,                0.28275,                0.97967,              0.0001904,              0.0001904,              0.0001904
                     41,                0.38264,                0.22394,                0.95607,                0.96599,                0.96064,                0.98257,                0.88564,                0.50681,                0.29765,                0.98932,             0.00017518,             0.00017518,             0.00017518
                     42,                0.37675,                0.21739,                0.96153,                0.96031,                0.96121,                0.98483,                0.88305,                0.50409,                0.29838,                 0.9818,             0.00015995,             0.00015995,             0.00015995
                     43,                0.37309,                0.21382,                0.95181,                 0.9698,                0.95484,                0.98314,                0.88534,                0.50262,                0.31142,                0.97732,             0.00014473,             0.00014473,             0.00014473
                     44,                0.36477,                0.21339,                0.94335,                 0.9706,                0.96209,                0.98717,                 0.8937,                0.49267,                0.26992,                0.96432,              0.0001295,              0.0001295,              0.0001295
                     45,                0.35374,                0.20403,                0.93676,                0.97487,                0.96585,                0.98636,                 0.8892,                0.49063,                0.28299,                0.96414,             0.00011427,             0.00011427,             0.00011427
                     46,                0.34417,                0.20022,                0.93095,                 0.9739,                0.97145,                0.98839,                0.89676,                0.49166,                0.27588,                0.97381,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                 0.3342,                0.19502,                0.93384,                0.97544,                0.96659,                0.98824,                0.89494,                0.49512,                0.27317,                0.97289,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                 0.3379,                0.19725,                0.93312,                0.98111,                0.97591,                 0.9899,                0.89578,                0.49019,                0.25298,                0.97408,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.32981,                0.19026,                0.92306,                0.97921,                0.97998,                 0.9899,                0.90057,                0.48964,                0.25346,                0.97259,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.32194,                0.18345,                0.91654,                 0.9696,                0.97306,                0.98877,                0.89894,                0.49166,                0.27076,                0.97538,             3.8142e-05,             3.8142e-05,             3.8142e-05
