                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72822,                 0.6342,                 1.1917,                0.94519,                0.90954,                0.96119,                0.82335,                0.60529,                0.44658,                 1.0393,             0.00025436,             0.00025436,             0.00025436
                      2,                 0.7083,                0.64412,                 1.1681,                 0.9297,                0.91175,                0.95346,                0.80179,                0.63477,                0.48492,                 1.0726,             0.00047699,             0.00047699,             0.00047699
                      3,                0.72003,                0.68537,                 1.1772,                0.87761,                0.92269,                 0.9426,                0.78655,                0.66292,                0.51344,                 1.0826,             0.00066578,             0.00066578,             0.00066578
                      4,                0.71198,                0.67413,                 1.1709,                0.89734,                0.88374,                0.94208,                0.78244,                0.64927,                0.52297,                 1.0993,             0.00061674,             0.00061674,             0.00061674
                      5,                0.72133,                 0.6987,                  1.177,                0.89421,                0.90034,                0.94313,                0.79056,                0.63734,                0.55053,                 1.0738,             0.00061674,             0.00061674,             0.00061674
                      6,                0.62977,                 0.5327,                 1.1295,                0.87583,                0.88258,                0.93983,                0.78087,                0.65601,                0.56681,                 1.0841,             0.00056598,             0.00056598,             0.00056598
                      7,                0.59087,                0.46744,                 1.1073,                0.90086,                0.90367,                0.95384,                0.81257,                0.62416,                0.49804,                  1.071,             0.00051523,             0.00051523,             0.00051523
                      8,                0.57793,                0.46345,                 1.0934,                0.88938,                 0.9247,                0.95434,                0.80065,                0.62775,                0.48221,                  1.076,             0.00046448,             0.00046448,             0.00046448
                      9,                0.55535,                0.42434,                 1.0785,                0.90258,                0.92852,                0.95415,                0.81063,                0.62556,                0.48056,                 1.0645,             0.00041372,             0.00041372,             0.00041372
                     10,                0.55989,                0.41196,                 1.0825,                0.92483,                0.93587,                0.97114,                0.83838,                0.58984,                0.40725,                  1.035,             0.00036297,             0.00036297,             0.00036297
                     11,                0.52774,                0.38372,                 1.0498,                0.92926,                0.91461,                0.96621,                0.82706,                0.60236,                0.43898,                 1.0422,             0.00031221,             0.00031221,             0.00031221
                     12,                0.51465,                0.35508,                  1.043,                0.94423,                0.93202,                0.97179,                0.84746,                0.56289,                0.41052,                  1.007,             0.00026146,             0.00026146,             0.00026146
                     13,                0.50541,                0.34104,                 1.0429,                0.96529,                0.92118,                0.97494,                 0.8574,                0.55451,                0.38374,                  1.006,             0.00021071,             0.00021071,             0.00021071
                     14,                0.48283,                0.31522,                 1.0215,                0.96095,                0.94609,                0.97977,                0.86372,                0.53665,                0.34498,                0.99622,             0.00015995,             0.00015995,             0.00015995
                     15,                0.46563,                0.29787,                 1.0087,                0.97636,                0.93207,                0.97864,                0.86321,                0.54133,                0.34374,                0.99993,              0.0001092,              0.0001092,              0.0001092
